"clust_id","vacancy_id"
"1",3,507526
"2",3,274106
"3",12,8475995
"4",29,107186
"5",25,4829206
"6",1,6703986
"7",29,5481426
"8",15,1191116
"9",12,8447606
"10",11,4627485
"11",3,5379556
"12",12,6428585
"13",16,6255376
"14",20,8363985
"15",6,6265446
"16",17,9965985
"17",29,443666
"18",2,1594036
"19",1,672066
"20",2,2786876
"21",1,706816
"22",7,754406
"23",13,3318006
"24",21,5244975
"25",16,7953896
"26",29,4709007
"27",29,2649666
"28",11,2518446
"29",21,6512136
"30",8,9771395
"31",20,5000926
"32",25,1318865
"33",6,7668985
"34",29,207026
"35",1,4715776
"36",2,5655176
"37",23,3402996
"38",7,5526916
"39",20,6580556
"40",16,5005816
"41",25,5830776
"42",23,3665606
"43",25,6876496
"44",9,8914976
"45",3,3155586
"46",29,6914156
"47",16,6555375
"48",23,6731146
"49",23,2207575
"50",1,5143866
"51",13,2504475
"52",1,6233975
"53",12,2655326
"54",24,1710446
"55",29,793295
"56",29,4275526
"57",10,1015865
"58",7,1857306
"59",9,1483976
"60",25,5310456
"61",29,8320786
"62",12,9812175
"63",20,24196
"64",23,5816066
"65",1,9575066
"66",8,3661396
"67",21,7162636
"68",29,6102885
"69",25,1479116
"70",18,6979416
"71",12,1816036
"72",17,9329685
"73",11,755876
"74",13,2065266
"75",7,1312806
"76",12,2985485
"77",21,691036
"78",21,4851175
"79",30,6479226
"80",25,9889416
"81",29,2651036
"82",22,5941666
"83",9,5705186
"84",9,9383976
"85",14,7175575
"86",13,3068076
"87",21,2938307
"88",17,4498685
"89",1,799426
"90",13,5432116
"91",21,9839086
"92",3,8693466
"93",2,74576
"94",20,5989886
"95",25,2887836
"96",25,3850946
"97",29,6674696
"98",4,7293756
"99",26,5393107
"100",29,585036
"101",16,8017316
"102",24,4922575
"103",29,2510285
"104",29,7691806
"105",9,8243196
"106",25,6200606
"107",4,9540176
"108",26,5715175
"109",16,1935056
"110",13,2997766
"111",16,9396836
"112",10,5934865
"113",7,2991446
"114",29,5199385
"115",9,8263976
"116",7,3249236
"117",16,318536
"118",16,426276
"119",3,5743026
"120",29,1509046
"121",7,1828526
"122",30,2487886
"123",21,6209446
"124",9,1128286
"125",25,2801786
"126",25,7655475
"127",4,2020546
"128",24,6558626
"129",19,7651746
